date, light
2025/1/21 16:8:37,1344
2021/1/1 0:0:1,	1344
2025/1/21 16:14:16,  1200
2025/1/21 16:14:16,  1152
2025/1/21 16:14:16,  1184
2025/1/21 16:14:16,  1248
2025/1/21 16:24:16,  1456
2025/1/21 16:34:16,  1360
2025/1/21 16:44:16,  2608
2025/1/21 16:54:16,  6065
2025/1/21 17:4:16,  7473
2025/1/21 17:14:16,  7089
2025/1/21 17:24:16,  7681
2025/1/21 17:34:16,  9778
2025/1/21 17:44:16,  5377
2025/1/21 17:54:16,  5601
2025/1/21 18:4:16,  6785
2025/1/21 18:14:16,  6337
2025/1/21 18:24:16,  7601
2025/1/21 18:34:16,  5713
2025/1/21 18:44:16,  10434
2025/1/21 18:54:16,  7681
2025/1/21 19:4:16,  7777
2025/1/21 19:14:16,  7729
2025/1/21 19:24:16,  7985
2025/1/21 19:34:16,  9394
2025/1/21 19:44:16,  9730
2025/1/21 19:54:16,  10114
2025/1/21 20:4:16,  8706
2025/1/21 20:14:16,  8081
2025/1/21 20:24:16,  11362
2025/1/21 20:34:16,  9954
2025/1/21 20:44:16,  11090
2025/1/21 20:54:16,  11458
2025/1/21 21:4:16,  11474
2025/1/21 21:14:16,  7985
2025/1/21 21:24:16,  11618
2025/1/21 21:34:16,  8658
2025/1/21 21:44:16,  11202
2025/1/21 21:54:16,  11362
2025/1/21 22:4:16,  8177
2025/1/21 22:14:16,  8226
2025/1/21 22:24:16,  9730
2025/1/21 22:34:16,  7889
2025/1/21 22:44:16,  10834
2025/1/21 22:54:16,  10674
2025/1/21 23:4:16,  10274
2025/1/21 23:14:16,  10514
2025/1/21 23:24:16,  8177
2025/1/21 23:34:16,  9058
2025/1/21 23:44:16,  10322
2025/1/21 23:54:16,  8226
2025/1/22 0:4:16,  11186
2025/1/22 0:14:16,  9794
2025/1/22 0:24:16,  9026
2025/1/22 0:34:16,  9570
2025/1/22 0:44:16,  8386
2025/1/22 0:54:16,  8338
2025/1/22 1:4:16,  9106
2025/1/22 1:14:16,  9666
2025/1/22 1:24:16,  8962
2025/1/22 1:34:16,  11090
2025/1/22 1:44:16,  11442
2025/1/22 1:54:16,  9010
2025/1/22 2:4:16,  9154
2025/1/22 2:14:16,  9746
2025/1/22 2:24:16,  8482
2025/1/22 2:34:16,  11154
2025/1/22 2:44:16,  10162
2025/1/22 2:54:16,  11330
2025/1/22 3:4:16,  9698
2025/1/22 3:14:16,  11906
2025/1/22 3:24:16,  8546
2025/1/22 3:34:16,  10018
2025/1/22 3:44:16,  10562
2025/1/22 3:54:16,  9858
2025/1/22 4:4:16,  10578
2025/1/22 4:14:16,  11586
2025/1/22 4:24:16,  10706
2025/1/22 4:34:16,  9154
2025/1/22 4:44:16,  10450
2025/1/22 4:54:16,  8546
2025/1/22 5:4:16,  11106
2025/1/22 5:14:16,  11458
2025/1/22 5:24:16,  8194
2025/1/22 5:34:16,  8145
2025/1/22 5:44:16,  8177
2025/1/22 5:54:16,  11506
2025/1/22 6:4:16,  10034
2025/1/22 6:14:16,  10274
2025/1/22 6:24:16,  8850
2025/1/22 6:34:16,  8145
2025/1/22 6:44:16,  9858
2025/1/22 6:54:16,  11218
2025/1/22 7:4:16,  10258
2025/1/22 7:14:16,  10946
2025/1/22 7:24:16,  8177
2025/1/22 7:34:16,  3024
2025/1/22 7:44:16,  1808
2025/1/22 7:54:16,  1376
2025/1/22 8:4:16,  1408
2025/1/22 8:14:16,  1408
2025/1/22 8:24:16,  1312
2025/1/22 8:34:16,  1312
2025/1/22 8:44:16,  1312
2025/1/22 8:54:16,  1328
2025/1/22 9:4:16,  1312
2025/1/22 9:14:16,  1232
2025/1/22 9:24:16,  1280
2025/1/22 9:34:16,  1264
2025/1/22 9:44:16,  1248
2025/1/22 9:54:16,  1280
2025/1/22 10:4:16,  1312
2025/1/22 10:14:16,  1296
2025/1/22 10:24:16,  1232
2025/1/22 10:34:16,  1296
2025/1/22 10:44:16,  1296
2025/1/22 10:54:16,  1264
2025/1/22 11:4:16,  1248
2025/1/22 11:14:16,  1296
2025/1/22 11:24:16,  1344
2025/1/22 11:34:16,  1264
2025/1/22 11:44:16,  1280
2025/1/22 11:54:16,  1216
2025/1/22 12:4:16,  1280
2025/1/22 12:14:16,  1312
2025/1/22 12:24:16,  1168
2025/1/22 12:34:16,  1264
2025/1/22 12:44:16,  1280
2025/1/22 12:54:16,  1248
2025/1/22 13:4:16,  1232
2025/1/22 13:14:16,  1376
2025/1/22 13:24:16,  1296
2025/1/22 13:34:16,  1328
2025/1/22 13:44:16,  1296
2025/1/22 13:54:16,  1312
2025/1/22 14:4:16,  1312
2025/1/22 14:14:16,  1344
2025/1/22 14:24:16,  1392
2025/1/22 14:34:16,  1296
2025/1/22 14:44:16,  1328
2025/1/22 14:54:16,  1440
2025/1/22 15:4:16,  1312
2025/1/22 15:14:16,  1296
2025/1/22 15:24:16,  1376
2025/1/22 15:34:16,  1360
2025/1/22 15:44:16,  1344
2025/1/22 15:54:16,  1424
2025/1/22 16:4:16,  1408
2025/1/22 16:14:16,  1408
2025/1/22 16:24:16,  1456
2025/1/22 16:34:16,  1616
2025/1/22 16:44:16,  1728
2025/1/22 16:54:16,  2144
2025/1/22 17:4:16,  2912
2025/1/22 17:14:16,  6865
2025/1/22 17:24:16,  8226
2025/1/22 17:34:16,  4433
2025/1/22 17:44:16,  6577
2025/1/22 17:54:16,  7217
2025/1/22 18:4:16,  7233
2025/1/22 18:14:16,  5889
2025/1/22 18:24:16,  9362
2025/1/22 18:34:16,  8706
2025/1/22 18:44:16,  7985
2025/1/22 18:54:16,  9554
2025/1/22 19:4:16,  10450
2025/1/22 19:14:16,  9138
2025/1/22 19:24:16,  11426
2025/1/22 19:34:16,  9442
2025/1/22 19:44:16,  8177
2025/1/22 19:54:16,  9810
2025/1/22 20:4:16,  10226
2025/1/22 20:14:16,  8065
2025/1/22 20:24:16,  11874
2025/1/22 20:34:16,  11522
2025/1/22 20:44:16,  11970
2025/1/22 20:54:16,  10786
2025/1/22 21:4:16,  8674
2025/1/22 21:14:16,  9602
2025/1/22 21:24:16,  8129
2025/1/22 21:34:16,  8177
2025/1/22 21:44:16,  11906
2025/1/22 21:54:16,  11730
2025/1/22 22:4:16,  10034
2025/1/22 22:14:16,  11730
2025/1/22 22:24:16,  8194
2025/1/22 22:34:16,  9634
2025/1/22 22:44:16,  8882
2025/1/22 22:54:16,  10594
2025/1/22 23:4:16,  10562
2025/1/22 23:14:16,  8065
2025/1/22 23:24:16,  8610
2025/1/22 23:34:16,  8177
2025/1/22 23:44:16,  11554
2025/1/22 23:54:16,  8498
2025/1/23 0:4:16,  10306
2025/1/23 0:14:16,  10514
2025/1/23 0:24:16,  11874
2025/1/23 0:34:16,  11298
2025/1/23 0:44:16,  10274
2025/1/23 0:54:16,  11362
2025/1/23 1:4:16,  8834
2025/1/23 1:14:16,  8530
